url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Miguel Montero,http://www.milb.com/player/index.jsp?sid=t476&player_id=471083,471083,LAN,C,85,355,73,124,24,1,24,82,222,26,52,1,2,0.403,0.625,0.349,1.028
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Billy Butler,http://www.milb.com/player/index.jsp?sid=t476&player_id=456714,456714,HD,3B,92,379,70,132,30,2,25,91,241,42,80,0,0,0.419,0.636,0.348,1.054
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Joe Gaetti,http://www.milb.com/player/index.jsp?sid=t476&player_id=444355,444355,MOD,OF,113,395,90,131,29,8,21,87,239,52,114,5,7,0.418,0.605,0.332,1.023
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Joey Gomes,http://www.milb.com/player/index.jsp?sid=t476&player_id=453464,453464,VIS,OF,133,530,77,172,34,1,12,86,244,53,92,4,5,0.383,0.46,0.325,0.843
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Brandon Wood,http://www.milb.com/player/index.jsp?sid=t476&player_id=457420,457420,RC,SS,130,536,109,172,51,4,43,115,360,48,128,7,3,0.383,0.672,0.321,1.054
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Nate Schierholtz,http://www.milb.com/player/index.jsp?sid=t476&player_id=435625,435625,SJ,OF,128,502,83,160,37,8,15,86,258,32,132,5,7,0.363,0.514,0.319,0.877
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Steve Garrabrants,http://www.milb.com/player/index.jsp?sid=t476&player_id=451790,451790,LAN,2B,95,358,79,114,28,5,7,58,173,39,45,8,4,0.4,0.483,0.318,0.883
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Kevin Mahar,http://www.milb.com/player/index.jsp?sid=t476&player_id=458917,458917,BAK,OF,110,447,98,141,27,4,17,63,227,47,109,17,10,0.396,0.508,0.315,0.904
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Jeff Cook,http://www.milb.com/player/index.jsp?sid=t476&player_id=449805,449805,LAN,OF,129,526,96,165,43,7,19,89,279,46,75,2,4,0.366,0.53,0.314,0.897
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Carlos Arroyo,http://www.milb.com/player/index.jsp?sid=t476&player_id=468304,468304,IE,LF,98,402,50,126,17,2,0,62,147,26,37,13,5,0.353,0.366,0.313,0.718
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Eddy Martinez-Esteve,http://www.milb.com/player/index.jsp?sid=t476&player_id=452245,452245,SJ,OF,132,479,89,150,44,3,17,94,251,89,82,4,2,0.427,0.524,0.313,0.951
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Angel Sanchez,http://www.milb.com/player/index.jsp?sid=t476&player_id=447816,447816,HD,SS,133,585,102,183,33,4,5,70,239,39,54,10,5,0.356,0.409,0.313,0.765
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Christian Colonel,http://www.milb.com/player/index.jsp?sid=t476&player_id=444384,444384,MOD,OF,96,364,73,113,32,3,7,60,172,47,66,1,3,0.396,0.473,0.31,0.869
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Bryan LaHair,http://www.milb.com/player/index.jsp?sid=t476&player_id=445933,445933,IE,1B,126,509,81,158,28,2,22,113,256,51,125,0,1,0.373,0.503,0.31,0.876
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Edgar Varela,http://www.milb.com/player/index.jsp?sid=t476&player_id=454453,454453,LAN,3B,106,395,58,122,30,2,9,60,183,18,74,1,2,0.341,0.463,0.309,0.804
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Danny Putnam,http://www.milb.com/player/index.jsp?sid=t476&player_id=456035,456035,STK,LF,131,514,97,158,37,3,15,100,246,66,92,1,3,0.388,0.479,0.307,0.866
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Kila Ka'aihue,http://www.milb.com/player/index.jsp?sid=t476&player_id=451500,451500,HD,1B,132,493,84,150,31,2,20,90,245,97,97,2,1,0.428,0.497,0.304,0.925
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Kris Dufner,http://www.milb.com/player/index.jsp?sid=t476&player_id=457848,457848,VIS,2B,102,382,62,116,21,5,7,48,168,44,90,5,5,0.382,0.44,0.304,0.822
http://www.milb.com/milb/stats/stats.jsp?y=2005&t=l_bat&lid=110&sid=t476&print=true,Matt Rogelstad,http://www.milb.com/player/index.jsp?sid=t476&player_id=461820,461820,IE,3B,111,438,71,133,23,2,1,47,163,44,52,3,2,0.367,0.372,0.304,0.739
