url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Jordy Lara,http://www.milb.com/player/index.jsp?sid=t476&player_id=570797,570797,HD,1B,102,399,77,141,26,5,22,80,243,38,82,1,3,0.413,0.609,0.353,1.022
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Diego Goris,http://www.milb.com/player/index.jsp?sid=t476&player_id=542357,542357,LE,SS,89,370,66,120,27,2,13,61,190,14,74,5,0,0.347,0.514,0.324,0.86
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Marquez Smith,http://www.milb.com/player/index.jsp?sid=t476&player_id=456673,456673,BAK,1B,120,424,89,137,32,4,29,126,264,83,93,1,0,0.438,0.623,0.323,1.061
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Jose Rondon,http://www.milb.com/player/index.jsp?sid=t476&player_id=602922,602922,LE,SS,109,433,58,138,26,5,1,36,177,30,73,11,7,0.365,0.409,0.319,0.774
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Elliott Blair,http://www.milb.com/player/index.jsp?sid=t476&player_id=607467,607467,SJ,LF,94,345,50,109,22,5,5,35,156,33,87,8,6,0.381,0.452,0.316,0.833
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Daniel Robertson,http://www.milb.com/player/index.jsp?sid=t476&player_id=621002,621002,STK,SS,132,548,110,170,37,3,15,60,258,72,94,4,4,0.402,0.471,0.31,0.873
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Gabriel Guerrero,http://www.milb.com/player/index.jsp?sid=t476&player_id=602115,602115,HD,RF,131,538,97,165,28,2,18,96,251,34,131,18,6,0.347,0.467,0.307,0.814
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Bengie Gonzalez,http://www.milb.com/player/index.jsp?sid=t476&player_id=543232,543232,LE,2B,102,376,61,115,28,3,3,41,158,45,62,13,7,0.381,0.42,0.306,0.801
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Raul Navarro,http://www.milb.com/player/index.jsp?sid=t476&player_id=554333,554333,VIS,SS,114,437,72,133,20,6,7,53,186,37,78,18,9,0.364,0.426,0.304,0.789
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Rudy Flores,http://www.milb.com/player/index.jsp?sid=t476&player_id=571669,571669,VIS,1B,132,525,76,158,35,0,28,100,277,33,189,3,2,0.354,0.528,0.301,0.881
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_bat&lid=110&sid=t476&print=true,Brandon Drury,http://www.milb.com/player/index.jsp?sid=t476&player_id=592273,592273,VIS,3B,107,430,73,129,35,1,19,81,223,41,76,4,3,0.366,0.519,0.3,0.885
