url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4942,872,1499,291,41,171,796,2385,434,1045,147,68,0.368,0.483,0.303,0.851
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4949,861,1430,270,29,135,794,2163,496,1061,134,66,0.359,0.437,0.289,0.796
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4814,729,1334,259,32,109,657,1984,470,957,104,56,0.346,0.412,0.277,0.759
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4787,779,1320,266,26,127,702,2019,535,983,81,53,0.355,0.422,0.276,0.776
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4834,690,1321,244,35,76,620,1863,487,974,114,85,0.346,0.385,0.273,0.731
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4829,716,1308,246,35,87,639,1885,450,1092,126,51,0.341,0.39,0.271,0.731
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4828,713,1303,257,41,114,654,1984,458,1089,129,67,0.346,0.411,0.27,0.757
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4845,693,1299,294,34,114,615,2003,486,1141,114,72,0.339,0.413,0.268,0.753
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4701,704,1249,246,42,97,628,1870,510,1066,152,91,0.345,0.398,0.266,0.743
http://www.milb.com/milb/stats/stats.jsp?y=2006&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4782,689,1240,257,33,87,637,1824,608,1089,107,48,0.35,0.381,0.259,0.731
