url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4960,860,1466,286,43,172,813,2354,452,1104,103,60,0.361,0.475,0.296,0.835
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4883,739,1409,258,58,117,670,2134,432,1023,208,101,0.353,0.437,0.289,0.79
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4808,738,1339,252,54,117,662,2050,377,1067,197,92,0.338,0.426,0.278,0.765
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4883,721,1358,258,52,124,663,2092,363,1000,138,73,0.334,0.428,0.278,0.762
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4892,665,1355,260,40,95,618,1980,434,1007,98,47,0.341,0.405,0.277,0.746
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4794,714,1296,266,56,84,651,1926,458,1112,170,69,0.342,0.402,0.27,0.744
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4788,755,1286,277,38,143,701,2068,563,1109,86,48,0.35,0.432,0.269,0.782
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4785,760,1275,267,34,136,696,2018,662,1053,133,51,0.36,0.422,0.266,0.781
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4775,657,1272,251,26,116,594,1923,362,1045,87,40,0.327,0.403,0.266,0.729
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4793,689,1262,247,19,124,626,1919,462,1177,56,30,0.335,0.4,0.263,0.735
