url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Datacell 17,Currsortdatacell,Datacell 18
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,140,5039,1081,1493,352,42,217,1008,2580,672,1060,34,22,0.385,0.512,0.296,0.897
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,139,4882,875,1388,279,47,148,803,2205,551,981,101,40,0.364,0.452,0.284,0.816
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,140,4812,711,1365,255,45,112,653,2046,439,893,111,73,0.352,0.425,0.284,0.777
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,High Desert,,,140,4900,802,1346,266,44,133,734,2099,479,1024,96,53,0.344,0.428,0.275,0.772
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,139,4817,718,1321,261,48,103,658,1987,445,856,152,74,0.341,0.412,0.274,0.754
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,140,4783,763,1279,286,58,114,701,2023,469,1109,173,73,0.34,0.423,0.267,0.763
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,140,4829,755,1274,267,32,158,696,2079,531,1087,78,43,0.342,0.431,0.264,0.773
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Bakersfield,,,140,4782,732,1255,269,20,128,669,1948,476,1147,116,70,0.334,0.407,0.262,0.741
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,140,4798,688,1232,219,35,99,617,1818,397,1102,171,61,0.318,0.379,0.257,0.697
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&y=2007&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,140,4763,685,1179,253,38,106,618,1826,481,1091,150,49,0.32,0.383,0.248,0.704
