url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Daniel Nava,http://www.milb.com/player/index.jsp?sid=t476&player_id=537953,537953,LAN,RF,85,323,54,110,27,1,10,59,169,43,70,4,3,0.424,0.523,0.341,0.948
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Carlos Santana,http://www.milb.com/player/index.jsp?sid=t476&player_id=467793,467793,IE,C,99,350,88,113,34,4,14,96,197,69,59,7,4,0.431,0.563,0.323,0.993
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Cedric Hunter,http://www.milb.com/player/index.jsp?sid=t476&player_id=501986,501986,LE,CF,134,584,98,186,33,3,11,84,258,42,47,12,6,0.362,0.442,0.318,0.804
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Abel Nieves,http://www.milb.com/player/index.jsp?sid=t476&player_id=447825,447825,RC,1B,101,336,46,107,24,2,4,54,147,53,74,4,3,0.409,0.438,0.318,0.847
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Drew Locke,http://www.milb.com/player/index.jsp?sid=t476&player_id=489065,489065,IE,1B,122,470,81,146,37,4,11,85,224,42,86,5,2,0.365,0.477,0.311,0.841
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Mike Paulk,http://www.milb.com/player/index.jsp?sid=t476&player_id=455391,455391,MOD,1B,132,510,81,158,28,3,8,66,216,63,79,8,5,0.384,0.424,0.31,0.807
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Pedro Ciriaco,http://www.milb.com/player/index.jsp?sid=t476&player_id=465674,465674,VIS,SS,124,520,85,161,26,5,5,61,212,18,89,40,9,0.333,0.408,0.31,0.741
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Matthew Sulentic,http://www.milb.com/player/index.jsp?sid=t476&player_id=501991,501991,STK,RF,95,343,52,106,24,4,9,55,165,30,91,7,2,0.368,0.481,0.309,0.849
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Eric Sogard,http://www.milb.com/player/index.jsp?sid=t476&player_id=519299,519299,LE,2B,133,536,97,165,42,3,10,87,243,79,62,16,7,0.394,0.453,0.308,0.847
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Sean Doolittle,http://www.milb.com/player/index.jsp?sid=t476&player_id=448281,448281,STK,1B,86,334,64,102,25,3,18,61,187,46,99,7,3,0.385,0.56,0.305,0.945
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Matt Downs,http://www.milb.com/player/index.jsp?sid=t476&player_id=453303,453303,SJ,2B,109,437,74,133,30,1,17,75,216,34,57,24,13,0.357,0.494,0.304,0.851
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Carlos Peguero,http://www.milb.com/player/index.jsp?sid=t476&player_id=451713,451713,HD,RF,92,371,47,111,25,3,12,74,178,10,96,6,4,0.317,0.48,0.299,0.797
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Anthony Jackson,http://www.milb.com/player/index.jsp?sid=t476&player_id=446234,446234,MOD,CF,107,430,71,128,21,7,1,39,166,29,85,39,9,0.361,0.386,0.298,0.747
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Marcus Lemon,http://www.milb.com/player/index.jsp?sid=t476&player_id=502017,502017,BAK,SS,118,447,80,132,30,4,8,47,194,46,69,12,8,0.374,0.434,0.295,0.808
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Mike McBryde,http://www.milb.com/player/index.jsp?sid=t476&player_id=453283,453283,SJ,CF,125,420,73,124,10,6,5,46,161,37,84,31,10,0.368,0.383,0.295,0.751
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Peter Bourjos,http://www.milb.com/player/index.jsp?sid=t476&player_id=488721,488721,RC,CF,121,509,83,150,29,10,9,51,226,19,96,50,10,0.326,0.444,0.295,0.77
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Bridger Hunt,http://www.milb.com/player/index.jsp?sid=t476&player_id=501857,501857,IE,OF,93,353,62,103,18,0,1,33,124,40,53,4,9,0.369,0.351,0.292,0.721
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Jaime Pedroza,http://www.milb.com/player/index.jsp?sid=t476&player_id=519115,519115,IE,SS,128,479,78,139,31,7,9,57,211,33,120,25,11,0.342,0.441,0.29,0.783
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Daniel Mayora,http://www.milb.com/player/index.jsp?sid=t476&player_id=468452,468452,MOD,SS,127,486,65,140,34,5,7,55,205,44,100,8,8,0.36,0.422,0.288,0.781
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Carlos Triunfel,http://www.milb.com/player/index.jsp?sid=t476&player_id=508892,508892,HD,SS,108,436,75,125,20,4,8,49,177,30,52,30,9,0.336,0.406,0.287,0.742
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Chad Tracy,http://www.milb.com/player/index.jsp?sid=t476&player_id=501913,501913,BAK,DH,106,420,67,120,37,1,13,67,198,40,98,2,1,0.361,0.471,0.286,0.832
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Mitch Canham,http://www.milb.com/player/index.jsp?sid=t476&player_id=502262,502262,LE,C,113,417,65,119,28,5,8,81,181,66,73,13,1,0.382,0.434,0.285,0.816
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Christopher Minaker,http://www.milb.com/player/index.jsp?sid=t476&player_id=501807,501807,HD,2B,123,478,66,136,41,1,6,59,197,24,59,1,2,0.314,0.412,0.285,0.727
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Bobby Felmy,http://www.milb.com/player/index.jsp?sid=t476&player_id=446201,446201,SJ,LF,126,481,62,136,25,3,6,58,185,35,79,18,7,0.34,0.385,0.283,0.724
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_bat&lid=110&sid=t476&print=true,Mark Trumbo,http://www.milb.com/player/index.jsp?sid=t476&player_id=444432,444432,RC,1B,103,407,70,115,28,2,26,68,225,26,67,7,3,0.329,0.553,0.283,0.882
