url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Leon Landry,http://www.milb.com/player/index.jsp?sid=t476&player_id=518914,518914,HD,CF,104,449,88,153,34,18,13,76,262,19,66,27,11,0.371,0.584,0.341,0.954
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Brad Miller,http://www.milb.com/player/index.jsp?sid=t476&player_id=543543,543543,HD,SS,97,410,89,139,33,5,11,56,215,52,79,19,6,0.412,0.524,0.339,0.936
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Steven Proscia,http://www.milb.com/player/index.jsp?sid=t476&player_id=543667,543667,HD,3B,106,436,88,145,24,3,24,94,247,25,97,12,2,0.368,0.567,0.333,0.935
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Tommy Medica,http://www.milb.com/player/index.jsp?sid=t476&player_id=523265,523265,LE,DH,93,355,65,117,37,5,19,87,221,41,86,1,1,0.406,0.623,0.33,1.029
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Billy Hamilton,http://www.milb.com/player/index.jsp?sid=t476&player_id=571740,571740,BAK,SS,82,337,79,109,18,9,1,30,148,50,70,104,21,0.413,0.439,0.323,0.852
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,George Springer,http://www.milb.com/player/index.jsp?sid=t476&player_id=543807,543807,LAN,CF,106,433,101,137,18,10,22,82,241,56,131,28,6,0.398,0.557,0.316,0.955
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Theo Bowe,http://www.milb.com/player/index.jsp?sid=t476&player_id=542954,542954,BAK,CF,96,373,65,117,13,2,3,39,143,45,72,58,28,0.391,0.383,0.314,0.774
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Joc Pederson,http://www.milb.com/player/index.jsp?sid=t476&player_id=592626,592626,RC,OF,110,434,96,136,26,4,18,70,224,51,81,26,14,0.396,0.516,0.313,0.913
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,John Hicks,http://www.milb.com/player/index.jsp?sid=t476&player_id=543308,543308,HD,C,121,506,87,158,32,2,15,79,239,28,73,22,8,0.351,0.472,0.312,0.824
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Justin Miller,http://www.milb.com/player/index.jsp?sid=t476&player_id=607299,607299,LE,3B,92,360,64,112,15,4,12,71,171,40,81,17,7,0.385,0.475,0.311,0.86
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Mike Freeman,http://www.milb.com/player/index.jsp?sid=t476&player_id=502273,502273,VIS,SS,135,537,91,166,24,5,3,59,209,60,88,30,4,0.377,0.389,0.309,0.767
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Kyle Parker,http://www.milb.com/player/index.jsp?sid=t476&player_id=592621,592621,MOD,RF,102,390,86,120,18,6,23,73,219,66,88,1,2,0.415,0.562,0.308,0.976
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,James Jones,http://www.milb.com/player/index.jsp?sid=t476&player_id=571825,571825,HD,CF,126,493,109,151,28,12,14,76,245,54,124,26,17,0.378,0.497,0.306,0.875
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Domingo Santana,http://www.milb.com/player/index.jsp?sid=t476&player_id=570267,570267,LAN,RF,119,457,87,138,26,6,23,97,245,55,148,7,1,0.385,0.536,0.302,0.921
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Carter Jurica,http://www.milb.com/player/index.jsp?sid=t476&player_id=594873,594873,SJ,2B,108,403,68,121,19,3,6,56,164,43,74,6,4,0.365,0.407,0.3,0.772
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Jon Griffin,http://www.milb.com/player/index.jsp?sid=t476&player_id=518745,518745,VIS,1B,128,487,87,146,19,3,26,98,249,49,107,0,0,0.363,0.511,0.3,0.874
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Randal Grichuk,http://www.milb.com/player/index.jsp?sid=t476&player_id=545341,545341,IE,RF,135,537,79,160,30,9,18,71,262,23,92,16,6,0.335,0.488,0.298,0.823
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Joe Panik,http://www.milb.com/player/index.jsp?sid=t476&player_id=605412,605412,SJ,SS,130,535,93,159,27,4,7,76,215,58,54,10,4,0.368,0.402,0.297,0.77
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Garrett Weber,http://www.milb.com/player/index.jsp?sid=t476&player_id=519402,519402,VIS,SS,100,394,59,117,23,1,14,65,184,23,67,1,1,0.34,0.467,0.297,0.807
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,C.J. Cron,http://www.milb.com/player/index.jsp?sid=t476&player_id=543068,543068,IE,1B,129,525,73,154,32,2,27,123,271,17,72,3,4,0.327,0.516,0.293,0.843
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Taylor Lindsey,http://www.milb.com/player/index.jsp?sid=t476&player_id=592506,592506,IE,2B,134,547,79,158,26,6,9,58,223,29,66,8,6,0.328,0.408,0.289,0.736
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Chris Bisson,http://www.milb.com/player/index.jsp?sid=t476&player_id=592146,592146,LE,2B,131,472,76,136,17,5,3,46,172,35,91,43,13,0.334,0.364,0.288,0.698
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Erik Castro,http://www.milb.com/player/index.jsp?sid=t476&player_id=571549,571549,LAN,1B,128,485,87,138,27,1,27,108,248,78,162,4,4,0.382,0.511,0.285,0.894
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Austin Gallagher,http://www.milb.com/player/index.jsp?sid=t476&player_id=473663,473663,RC,1B,105,374,58,106,27,1,15,74,180,58,82,2,5,0.383,0.481,0.283,0.864
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Rafael Ortega,http://www.milb.com/player/index.jsp?sid=t476&player_id=542364,542364,MOD,CF,114,495,81,140,23,8,8,60,203,46,93,36,18,0.344,0.41,0.283,0.754
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Mario Martinez,http://www.milb.com/player/index.jsp?sid=t476&player_id=521788,521788,HD,3B,120,467,63,132,24,4,21,80,227,13,97,3,3,0.308,0.486,0.283,0.794
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Cristhian Adames,http://www.milb.com/player/index.jsp?sid=t476&player_id=542436,542436,MOD,SS,115,418,59,117,21,7,2,54,158,47,82,4,2,0.352,0.378,0.28,0.73
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Mickey Wiswall,http://www.milb.com/player/index.jsp?sid=t476&player_id=534754,534754,HD,1B,123,497,80,139,33,4,21,98,243,31,115,8,6,0.325,0.489,0.28,0.814
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Mike McGee,http://www.milb.com/player/index.jsp?sid=t476&player_id=519010,519010,HD,LF,118,445,86,123,24,5,17,58,208,47,82,11,5,0.352,0.467,0.276,0.819
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Tony Thompson,http://www.milb.com/player/index.jsp?sid=t476&player_id=592801,592801,STK,1B,94,344,48,95,22,1,11,49,152,38,61,1,1,0.344,0.442,0.276,0.785
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Brett Tanos,http://www.milb.com/player/index.jsp?sid=t476&player_id=595010,595010,MOD,2B,111,403,75,111,22,5,6,51,161,78,81,10,6,0.395,0.4,0.275,0.795
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Enrique Hernandez,http://www.milb.com/player/index.jsp?sid=t476&player_id=571771,571771,LAN,LF,100,378,52,104,25,7,5,49,158,22,43,4,2,0.318,0.418,0.275,0.736
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Travis Mattair,http://www.milb.com/player/index.jsp?sid=t476&player_id=518993,518993,BAK,3B,126,492,73,135,31,3,19,82,229,50,119,3,6,0.344,0.465,0.274,0.809
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Jonathan Meyer,http://www.milb.com/player/index.jsp?sid=t476&player_id=545352,545352,LAN,3B,129,504,78,137,24,2,8,57,189,31,101,4,3,0.315,0.375,0.272,0.69
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Cory Spangenberg,http://www.milb.com/player/index.jsp?sid=t476&player_id=605486,605486,LE,2B,98,384,53,104,12,8,1,40,135,26,72,27,9,0.324,0.352,0.271,0.675
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Rico Noel,http://www.milb.com/player/index.jsp?sid=t476&player_id=592596,592596,LE,CF,134,514,79,139,14,2,0,30,157,62,151,90,23,0.357,0.305,0.27,0.663
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Keon Broxton,http://www.milb.com/player/index.jsp?sid=t476&player_id=542979,542979,VIS,CF,130,490,84,131,24,1,19,62,214,40,136,21,8,0.326,0.437,0.267,0.763
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Ricky Oropesa,http://www.milb.com/player/index.jsp?sid=t476&player_id=543609,543609,SJ,1B,134,518,70,136,30,3,16,98,220,59,150,1,1,0.338,0.425,0.263,0.763
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Chad Oberacker,http://www.milb.com/player/index.jsp?sid=t476&player_id=594947,594947,STK,CF,107,454,64,118,25,7,13,48,196,43,96,25,3,0.326,0.432,0.26,0.758
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Josh Whitaker,http://www.milb.com/player/index.jsp?sid=t476&player_id=595030,595030,STK,OF,99,386,62,100,16,3,20,61,182,33,122,11,5,0.325,0.472,0.259,0.796
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Adam Duvall,http://www.milb.com/player/index.jsp?sid=t476&player_id=594807,594807,SJ,3B,134,534,101,138,24,4,30,100,260,47,116,8,2,0.327,0.487,0.258,0.814
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Devin Lohman,http://www.milb.com/player/index.jsp?sid=t476&player_id=518948,518948,BAK,2B,130,494,80,127,23,3,14,70,198,60,108,34,9,0.353,0.401,0.257,0.754
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Mike Gilmartin,http://www.milb.com/player/index.jsp?sid=t476&player_id=572873,572873,STK,2B,118,430,58,110,18,0,9,52,155,47,98,4,3,0.339,0.36,0.256,0.699
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Alex Burg,http://www.milb.com/player/index.jsp?sid=t476&player_id=571529,571529,SJ,RF,100,345,49,87,27,2,10,43,148,41,77,1,2,0.341,0.429,0.252,0.77
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,A.J. Kirby-Jones,http://www.milb.com/player/index.jsp?sid=t476&player_id=594882,594882,STK,1B,115,399,62,99,16,3,21,69,184,86,128,0,0,0.382,0.461,0.248,0.843
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Jarrett Parker,http://www.milb.com/player/index.jsp?sid=t476&player_id=592620,592620,SJ,LF,122,409,71,101,21,7,15,67,181,70,175,28,6,0.366,0.443,0.247,0.809
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Scott Wingo,http://www.milb.com/player/index.jsp?sid=t476&player_id=592876,592876,RC,2B,109,353,53,87,12,7,2,33,119,56,77,13,8,0.367,0.337,0.246,0.705
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Chris Lofton,http://www.milb.com/player/index.jsp?sid=t476&player_id=594904,594904,SJ,CF,96,347,67,85,14,1,5,30,116,38,103,22,7,0.32,0.334,0.245,0.655
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Andrew Susac,http://www.milb.com/player/index.jsp?sid=t476&player_id=572180,572180,SJ,C,102,361,58,88,16,3,9,52,137,55,100,1,1,0.351,0.38,0.244,0.731
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Everett Williams,http://www.milb.com/player/index.jsp?sid=t476&player_id=572264,572264,LE,LF,105,397,38,96,25,4,5,50,144,28,112,9,4,0.288,0.363,0.242,0.651
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Connor Powers,http://www.milb.com/player/index.jsp?sid=t476&player_id=572046,572046,LE,1B,96,343,38,82,18,1,10,50,132,30,102,3,0,0.303,0.385,0.239,0.688
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_bat&lid=110&sid=t476&print=true,Juan Duran,http://www.milb.com/player/index.jsp?sid=t476&player_id=544269,544269,BAK,LF,106,422,47,100,16,2,12,57,156,26,151,3,2,0.286,0.37,0.237,0.656
