url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Koby Clemens,http://www.milb.com/player/index.jsp?sid=t476&player_id=488784,488784,LAN,C,116,423,74,146,45,6,22,121,269,51,109,4,1,0.419,0.636,0.345,1.055
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Alex Liddi,http://www.milb.com/player/index.jsp?sid=t476&player_id=499926,499926,HD,3B,129,493,97,170,44,5,23,104,293,53,122,10,6,0.411,0.594,0.345,1.005
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Tyson Gillies,http://www.milb.com/player/index.jsp?sid=t476&player_id=502265,502265,HD,CF,124,498,104,170,17,14,9,42,242,60,81,44,19,0.43,0.486,0.341,0.916
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,James McOwen,http://www.milb.com/player/index.jsp?sid=t476&player_id=519014,519014,HD,RF,115,447,79,152,23,8,10,82,221,40,70,13,10,0.393,0.494,0.34,0.887
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Thomas Neal,http://www.milb.com/player/index.jsp?sid=t476&player_id=489166,489166,SJ,LF,129,475,102,160,41,4,22,90,275,65,98,3,0,0.431,0.579,0.337,1.01
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Yusuf Carter,http://www.milb.com/player/index.jsp?sid=t476&player_id=445175,445175,STK,C,91,352,61,112,12,4,14,52,174,31,89,4,2,0.373,0.494,0.318,0.867
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,J.B. Shuck,http://www.milb.com/player/index.jsp?sid=t476&player_id=543776,543776,LAN,CF,133,556,98,175,30,11,1,36,230,64,55,18,9,0.389,0.414,0.315,0.803
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Charlie Blackmon,http://www.milb.com/player/index.jsp?sid=t476&player_id=453568,453568,MOD,CF,133,550,87,169,34,7,7,69,238,39,83,30,13,0.37,0.433,0.307,0.803
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Trayvon Robinson,http://www.milb.com/player/index.jsp?sid=t476&player_id=477054,477054,IE,CF,117,470,82,144,28,9,15,54,235,50,125,43,18,0.375,0.5,0.306,0.875
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_bat&lid=110&sid=t476&print=true,Konrad Schmidt,http://www.milb.com/player/index.jsp?sid=t476&player_id=520209,520209,VIS,C,106,411,54,125,28,1,9,50,182,30,75,0,3,0.359,0.443,0.304,0.802
