url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,5100,951,1547,307,57,189,855,2535,407,1033,147,66,0.359,0.497,0.303,0.856
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4946,843,1398,248,47,158,760,2214,499,1232,136,48,0.353,0.448,0.283,0.801
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4849,721,1338,236,27,150,657,2078,409,1031,108,41,0.335,0.429,0.276,0.763
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4855,782,1312,278,58,121,726,2069,581,1124,105,60,0.351,0.426,0.27,0.778
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4801,734,1296,265,39,127,665,2020,503,1109,266,95,0.346,0.421,0.27,0.767
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4792,728,1288,256,49,144,661,2074,420,1080,128,64,0.336,0.433,0.269,0.769
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4876,682,1303,237,53,99,616,1943,383,863,105,59,0.327,0.398,0.267,0.726
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4809,755,1285,249,38,118,694,1964,543,1176,93,40,0.345,0.408,0.267,0.754
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4862,671,1299,244,41,89,610,1892,432,1181,242,83,0.332,0.389,0.267,0.721
http://www.milb.com/milb/stats/stats.jsp?y=2012&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4843,695,1254,246,31,160,645,2042,529,1226,76,31,0.335,0.422,0.259,0.757
