url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,High Desert,,,4831,812,1345,295,26,177,748,2223,443,1019,84,52,0.345,0.46,0.278,0.805
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4867,762,1327,249,54,152,716,2140,424,1210,100,60,0.338,0.44,0.273,0.778
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4709,856,1283,250,46,136,776,2033,585,1183,209,90,0.359,0.432,0.272,0.79
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4844,680,1310,268,48,101,602,1977,390,1157,91,53,0.328,0.408,0.27,0.736
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4841,691,1283,252,30,108,632,1919,539,1226,87,53,0.346,0.396,0.265,0.742
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Bakersfield,,,4896,755,1284,223,24,116,680,1903,583,1239,102,55,0.349,0.389,0.262,0.737
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4776,636,1235,245,28,126,573,1914,390,1122,109,68,0.32,0.401,0.259,0.721
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4786,635,1228,255,39,111,580,1894,376,1157,70,62,0.318,0.396,0.257,0.713
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4712,599,1176,198,40,80,547,1694,432,1162,102,45,0.317,0.36,0.25,0.677
http://www.milb.com/milb/stats/stats.jsp?t=l_tba&lid=110&sid=t476&print=true&y=2016,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4763,592,1174,196,49,90,521,1738,411,1155,208,72,0.313,0.365,0.246,0.678
