url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4895,860,1461,287,80,164,791,2400,452,1038,136,72,0.364,0.49,0.298,0.854
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4939,782,1400,323,66,136,741,2263,444,1120,77,52,0.349,0.458,0.283,0.807
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4830,803,1350,284,43,123,729,2089,480,1051,115,50,0.351,0.433,0.28,0.784
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4888,712,1313,301,22,144,653,2090,348,1211,68,30,0.328,0.428,0.269,0.756
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4777,686,1281,285,57,88,629,1944,378,1107,139,65,0.33,0.407,0.268,0.737
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4754,662,1266,256,46,122,606,1980,454,1249,171,80,0.335,0.416,0.266,0.751
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4648,664,1231,236,59,82,591,1831,445,1009,149,78,0.334,0.394,0.265,0.728
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4806,723,1271,273,50,96,658,1932,603,1044,126,50,0.353,0.402,0.264,0.755
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4772,638,1230,204,40,106,581,1832,504,1143,106,63,0.334,0.384,0.258,0.718
http://www.milb.com/milb/stats/stats.jsp?y=2009&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4722,629,1170,231,27,68,554,1659,505,1109,103,61,0.332,0.351,0.248,0.683
