url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Bubba Bell,http://www.milb.com/player/index.jsp?sid=t476&player_id=488694,488694,LAN,OF,76,322,95,119,27,1,22,83,214,48,39,10,4,0.455,0.665,0.37,1.12
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Aaron Bates,http://www.milb.com/player/index.jsp?sid=t476&player_id=488686,488686,LAN,1B,98,373,89,124,21,2,24,88,221,69,83,0,1,0.456,0.592,0.332,1.048
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Zach Daeges,http://www.milb.com/player/index.jsp?sid=t476&player_id=501922,501922,LAN,DH,127,515,124,170,55,5,21,113,298,82,97,4,1,0.423,0.579,0.33,1.002
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Tony Granadillo,http://www.milb.com/player/index.jsp?sid=t476&player_id=457485,457485,LAN,2B,109,445,104,145,36,7,8,63,219,54,65,2,0,0.411,0.492,0.326,0.903
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Mark Wagner,http://www.milb.com/player/index.jsp?sid=t476&player_id=460037,460037,LAN,C,95,368,71,117,35,1,14,82,196,55,46,0,1,0.406,0.533,0.318,0.939
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Craig Cooper,http://www.milb.com/player/index.jsp?sid=t476&player_id=459945,459945,LE,1B,124,458,83,145,32,4,10,78,215,56,87,4,4,0.397,0.469,0.317,0.866
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Jeff Kindel,http://www.milb.com/player/index.jsp?sid=t476&player_id=501939,501939,MOD,1B,126,477,79,151,34,7,14,83,241,41,81,3,4,0.375,0.505,0.317,0.88
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Matt Antonelli,http://www.milb.com/player/index.jsp?sid=t476&player_id=453327,453327,LE,2B,82,347,89,109,14,4,14,54,173,53,58,18,6,0.409,0.499,0.314,0.907
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Bryan Byrne,http://www.milb.com/player/index.jsp?sid=t476&player_id=458693,458693,VIS,1B,128,478,75,148,25,5,13,74,222,66,78,4,1,0.397,0.464,0.31,0.862
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Jamie Hoffmann,http://www.milb.com/player/index.jsp?sid=t476&player_id=469845,469845,IE,OF,116,433,67,134,22,7,9,81,197,47,70,19,7,0.378,0.455,0.309,0.833
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Adam Moore,http://www.milb.com/player/index.jsp?sid=t476&player_id=446192,446192,HD,C,115,433,74,133,30,3,22,102,235,41,84,1,0,0.371,0.543,0.307,0.913
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Casey Craig,http://www.milb.com/player/index.jsp?sid=t476&player_id=452727,452727,HD,OF,93,378,83,115,23,4,11,49,179,52,67,20,4,0.391,0.474,0.304,0.864
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,David Freese,http://www.milb.com/player/index.jsp?sid=t476&player_id=501896,501896,LE,3B,128,503,104,152,31,6,17,96,246,69,99,6,1,0.4,0.489,0.302,0.889
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Jesus Guzman,http://www.milb.com/player/index.jsp?sid=t476&player_id=461882,461882,HD,2B,130,518,102,156,38,5,25,112,279,50,85,3,3,0.37,0.539,0.301,0.908
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Kyle Blanks,http://www.milb.com/player/index.jsp?sid=t476&player_id=452035,452035,LE,DH,119,465,94,140,31,4,24,100,251,44,98,11,2,0.38,0.54,0.301,0.92
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Ryan Khoury,http://www.milb.com/player/index.jsp?sid=t476&player_id=501929,501929,LAN,2B,98,380,82,114,29,1,11,69,178,49,78,3,1,0.385,0.468,0.3,0.854
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Travis Denker,http://www.milb.com/player/index.jsp?sid=t476&player_id=458239,458239,SJ,2B,118,427,72,128,30,3,11,66,197,55,67,9,2,0.379,0.461,0.3,0.841
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Johan Limonta,http://www.milb.com/player/index.jsp?sid=t476&player_id=501910,501910,HD,1B,129,474,72,142,21,8,12,72,215,49,91,2,5,0.366,0.454,0.3,0.82
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Michael Saunders,http://www.milb.com/player/index.jsp?sid=t476&player_id=459431,459431,HD,OF,108,431,91,129,25,4,14,77,204,60,116,27,10,0.392,0.473,0.299,0.866
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Chris Davis,http://www.milb.com/player/index.jsp?sid=t476&player_id=448801,448801,BAK,3B,99,386,69,115,28,3,24,93,221,22,123,3,3,0.34,0.573,0.298,0.912
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Seth Johnston,http://www.milb.com/player/index.jsp?sid=t476&player_id=490941,490941,LE,2B,95,363,56,106,19,4,8,51,157,36,82,1,2,0.357,0.433,0.292,0.79
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Eric Young Jr.,http://www.milb.com/player/index.jsp?sid=t476&player_id=458913,458913,MOD,2B,130,540,113,157,29,11,8,63,232,46,105,73,18,0.359,0.43,0.291,0.789
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Chris Nelson,http://www.milb.com/player/index.jsp?sid=t476&player_id=455126,455126,MOD,SS,133,529,97,153,42,7,19,99,266,55,92,27,5,0.358,0.503,0.289,0.861
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Hainley Statia,http://www.milb.com/player/index.jsp?sid=t476&player_id=461871,461871,RC,SS,135,549,86,158,27,7,3,74,208,48,79,29,8,0.344,0.379,0.288,0.723
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Ivan De Jesus Jr.,http://www.milb.com/player/index.jsp?sid=t476&player_id=474443,474443,IE,SS,121,428,69,123,22,3,4,52,163,57,64,11,6,0.371,0.381,0.287,0.752
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Pablo Sandoval,http://www.milb.com/player/index.jsp?sid=t476&player_id=467055,467055,SJ,C,102,401,56,115,33,5,11,52,191,16,52,3,1,0.312,0.476,0.287,0.788
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Gregory Thomson,http://www.milb.com/player/index.jsp?sid=t476&player_id=453029,453029,VIS,OF,112,459,72,131,22,9,9,52,198,29,67,18,9,0.339,0.431,0.285,0.77
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Cyle Hankerd,http://www.milb.com/player/index.jsp?sid=t476&player_id=458088,458088,VIS,LF,103,386,55,110,27,1,8,54,163,35,60,2,3,0.368,0.422,0.285,0.79
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Freddie Thon,http://www.milb.com/player/index.jsp?sid=t476&player_id=452247,452247,BAK,1B,113,429,42,122,27,1,11,66,184,9,73,2,5,0.3,0.429,0.284,0.729
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Daniel Carte,http://www.milb.com/player/index.jsp?sid=t476&player_id=453045,453045,MOD,RF,111,427,52,121,35,5,14,71,208,13,130,4,4,0.317,0.487,0.283,0.804
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Ben Copeland,http://www.milb.com/player/index.jsp?sid=t476&player_id=488798,488798,SJ,OF,106,404,68,113,22,6,7,50,168,70,77,14,7,0.387,0.416,0.28,0.803
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Antoan Richardson,http://www.milb.com/player/index.jsp?sid=t476&player_id=460322,460322,SJ,OF,107,384,85,107,12,7,2,29,139,67,94,43,11,0.399,0.362,0.279,0.761
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Nate Sutton,http://www.milb.com/player/index.jsp?sid=t476&player_id=456430,456430,RC,2B,135,523,82,145,19,7,4,50,190,51,90,21,8,0.343,0.363,0.277,0.706
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Mike Baxter,http://www.milb.com/player/index.jsp?sid=t476&player_id=488689,488689,LE,OF,111,417,74,115,21,6,7,44,169,44,75,12,6,0.346,0.405,0.276,0.751
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Justin Sellers,http://www.milb.com/player/index.jsp?sid=t476&player_id=451088,451088,STK,2B,114,434,72,119,25,4,4,37,164,46,69,11,4,0.35,0.378,0.274,0.728
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Steve Kleen,http://www.milb.com/player/index.jsp?sid=t476&player_id=489025,489025,STK,OF,118,430,75,117,24,2,5,45,160,49,92,2,1,0.356,0.372,0.272,0.728
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Drew Toussaint,http://www.milb.com/player/index.jsp?sid=t476&player_id=448263,448263,RC,RF,114,394,55,107,24,4,9,47,166,35,102,7,4,0.337,0.421,0.272,0.758
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Leyson Septimo,http://www.milb.com/player/index.jsp?sid=t476&player_id=465015,465015,VIS,OF,100,362,54,98,18,2,5,42,135,23,67,12,6,0.322,0.373,0.271,0.695
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Jose Pineda,http://www.milb.com/player/index.jsp?sid=t476&player_id=448214,448214,STK,OF,112,414,66,112,25,2,20,64,201,35,112,3,5,0.332,0.486,0.271,0.817
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Russell Mitchell,http://www.milb.com/player/index.jsp?sid=t476&player_id=452199,452199,IE,1B,126,488,81,132,32,4,22,82,238,31,126,5,5,0.324,0.488,0.27,0.812
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Chad Boyd,http://www.milb.com/player/index.jsp?sid=t476&player_id=448272,448272,STK,RF,102,382,50,103,23,3,8,46,156,38,70,9,3,0.341,0.408,0.27,0.749
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Truan Mehl,http://www.milb.com/player/index.jsp?sid=t476&player_id=457079,457079,BAK,CF,105,410,59,110,21,4,6,45,157,26,61,16,10,0.312,0.383,0.268,0.694
http://www.milb.com/milb/stats/stats.jsp?y=2007&t=l_bat&lid=110&sid=t476&print=true,Frank Martinez,http://www.milb.com/player/index.jsp?sid=t476&player_id=465002,465002,STK,3B,131,499,65,133,28,6,12,60,209,35,96,14,4,0.32,0.419,0.267,0.739
