url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Zach Borenstein,http://www.milb.com/player/index.jsp?sid=t476&player_id=605148,605148,IE,LF,112,407,76,137,22,7,28,95,257,43,88,5,5,0.403,0.631,0.337,1.034
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Matt Duffy,http://www.milb.com/player/index.jsp?sid=t476&player_id=592274,592274,LAN,3B,100,371,74,120,20,4,19,84,205,30,80,0,2,0.397,0.553,0.323,0.95
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Delino DeShields,http://www.milb.com/player/index.jsp?sid=t476&player_id=592261,592261,LAN,2B,111,451,100,143,25,14,5,54,211,57,91,51,18,0.405,0.468,0.317,0.873
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,M.P. Cokinos,http://www.milb.com/player/index.jsp?sid=t476&player_id=623277,623277,LAN,1B,109,425,71,133,28,1,13,94,202,47,41,1,3,0.395,0.475,0.313,0.87
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Alex Yarbrough,http://www.milb.com/player/index.jsp?sid=t476&player_id=608730,608730,IE,2B,136,582,77,182,32,10,11,80,267,27,106,14,4,0.341,0.459,0.313,0.8
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Jace Peterson,http://www.milb.com/player/index.jsp?sid=t476&player_id=607054,607054,LE,SS,113,423,78,128,17,13,7,66,192,54,58,42,10,0.382,0.454,0.303,0.836
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Joe Sclafani,http://www.milb.com/player/index.jsp?sid=t476&player_id=623159,623159,LAN,3B,92,344,81,104,28,5,7,53,163,52,60,16,3,0.396,0.474,0.302,0.87
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Tom Belza,http://www.milb.com/player/index.jsp?sid=t476&player_id=595129,595129,VIS,OF,128,476,73,143,21,5,10,63,204,51,93,12,7,0.368,0.429,0.3,0.797
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Brian Humphries,http://www.milb.com/player/index.jsp?sid=t476&player_id=543344,543344,MOD,OF,111,453,62,136,26,5,8,50,196,14,82,14,6,0.323,0.433,0.3,0.756
http://www.milb.com/milb/stats/stats.jsp?y=2013&t=l_bat&lid=110&sid=t476&print=true,Steve Selsky,http://www.milb.com/player/index.jsp?sid=t476&player_id=592731,592731,BAK,1B,91,340,54,101,19,5,13,68,169,37,79,9,4,0.388,0.497,0.297,0.885
