url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Datacell 17,Currsortdatacell,Datacell 18
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,140,4992,796,1423,274,49,154,737,2257,465,1107,58,21,0.352,0.452,0.285,0.804
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,140,4965,819,1380,286,27,106,744,2038,599,815,106,41,0.359,0.41,0.278,0.769
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,140,4811,736,1337,262,23,106,665,1963,439,999,205,76,0.345,0.408,0.278,0.753
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,141,4817,703,1332,264,55,129,647,2093,379,1044,192,64,0.333,0.435,0.277,0.767
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,141,4887,777,1346,301,59,95,707,2050,520,1087,135,70,0.347,0.419,0.275,0.767
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,140,4905,742,1349,266,38,149,681,2138,466,1079,103,52,0.343,0.436,0.275,0.778
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,140,4899,668,1318,281,18,96,611,1923,427,1058,130,36,0.333,0.393,0.269,0.725
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,140,4843,729,1299,272,37,111,661,1978,334,1051,198,66,0.321,0.408,0.268,0.73
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,139,4762,645,1257,274,41,85,578,1868,451,1157,146,63,0.335,0.392,0.264,0.727
http://www.milb.com/milb/stats/stats.jsp?y=2008&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,139,4753,623,1233,232,34,72,573,1749,430,994,118,59,0.327,0.368,0.259,0.695
