url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4858,816,1390,298,21,146,748,2168,531,1001,147,59,0.359,0.446,0.286,0.805
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4833,837,1375,300,59,130,741,2183,590,980,141,63,0.366,0.452,0.285,0.818
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4947,841,1391,277,50,176,786,2296,483,1121,149,71,0.35,0.464,0.281,0.814
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4916,736,1367,269,39,142,676,2140,402,1165,146,58,0.337,0.435,0.278,0.773
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4941,761,1364,273,35,174,697,2229,546,1152,94,39,0.354,0.451,0.276,0.805
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4829,655,1291,239,42,103,602,1923,403,1059,137,69,0.33,0.398,0.267,0.728
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4855,697,1287,286,33,121,641,2002,423,1120,116,49,0.33,0.412,0.265,0.742
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4772,682,1250,237,53,109,620,1920,444,1180,147,76,0.333,0.402,0.262,0.736
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4844,699,1245,283,43,142,639,2040,464,1283,118,38,0.328,0.421,0.257,0.749
http://www.milb.com/milb/stats/stats.jsp?y=2014&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4699,588,1157,233,55,93,547,1779,409,1226,146,73,0.312,0.379,0.246,0.69
