url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4888,848,1404,279,40,153,781,2222,524,993,107,57,0.362,0.455,0.287,0.816
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4844,747,1365,263,29,115,681,2031,425,933,195,87,0.345,0.419,0.282,0.765
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4970,828,1394,295,46,133,760,2180,512,1097,196,59,0.354,0.439,0.28,0.793
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4854,749,1359,249,34,121,685,2039,510,1075,135,63,0.352,0.42,0.28,0.772
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4880,798,1363,259,51,158,734,2198,469,1344,157,68,0.348,0.45,0.279,0.798
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4941,814,1372,306,40,139,752,2175,493,1059,129,41,0.35,0.44,0.278,0.79
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4844,746,1344,297,48,105,684,2052,500,1027,122,69,0.35,0.424,0.277,0.773
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4827,801,1314,282,45,118,726,2040,463,1103,129,68,0.343,0.423,0.272,0.765
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4837,747,1312,275,32,127,683,2032,451,1161,104,44,0.341,0.42,0.271,0.761
http://www.milb.com/milb/stats/stats.jsp?y=2011&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4853,739,1268,230,35,143,678,1997,566,1266,109,50,0.344,0.411,0.261,0.755
