url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Luis Urias,http://www.milb.com/player/index.jsp?sid=t476&player_id=649966,649966,LE,2B,120,466,71,154,26,5,5,52,205,40,36,7,13,0.397,0.44,0.33,0.836
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Kyle Petty,http://www.milb.com/player/index.jsp?sid=t476&player_id=643488,643488,BAK,1B,86,353,65,116,24,1,14,62,184,42,91,12,6,0.409,0.521,0.329,0.93
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Drew Ferguson,http://www.milb.com/player/index.jsp?sid=t476&player_id=664916,664916,LAN,OF,90,326,70,102,25,2,14,69,173,45,82,28,9,0.41,0.531,0.313,0.941
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Scott Heineman,http://www.milb.com/player/index.jsp?sid=t476&player_id=595981,595981,HD,LF,134,525,96,159,39,8,17,80,265,59,120,30,14,0.386,0.505,0.303,0.891
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,James Harris,http://www.milb.com/player/index.jsp?sid=t476&player_id=605266,605266,STK,OF,119,492,81,149,30,4,7,53,208,54,118,21,9,0.379,0.423,0.303,0.802
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Victor Reyes,http://www.milb.com/player/index.jsp?sid=t476&player_id=622682,622682,VIS,RF,124,469,62,142,11,12,6,54,195,33,78,20,8,0.349,0.416,0.303,0.765
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Jose Trevino,http://www.milb.com/player/index.jsp?sid=t476&player_id=624431,624431,HD,C,109,433,67,131,30,0,9,68,188,26,49,2,1,0.342,0.434,0.303,0.776
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Joe Bennie,http://www.milb.com/player/index.jsp?sid=t476&player_id=643218,643218,STK,2B,111,434,64,131,31,0,11,69,195,48,116,6,7,0.376,0.449,0.302,0.826
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Juremi Profar,http://www.milb.com/player/index.jsp?sid=t476&player_id=642282,642282,HD,3B,103,383,66,115,23,2,13,58,181,33,47,1,3,0.355,0.473,0.3,0.827
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Josh Morgan,http://www.milb.com/player/index.jsp?sid=t476&player_id=656766,656766,HD,3B,128,470,74,141,19,2,7,64,185,44,61,4,2,0.367,0.394,0.3,0.761
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Jose Cardona,http://www.milb.com/player/index.jsp?sid=t476&player_id=606580,606580,HD,CF,101,397,81,119,23,0,14,48,184,42,66,13,4,0.371,0.463,0.3,0.835
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Luke Tendler,http://www.milb.com/player/index.jsp?sid=t476&player_id=657035,657035,HD,RF,132,508,92,151,38,4,23,97,266,64,107,5,8,0.384,0.524,0.297,0.908
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Matt Beaty,http://www.milb.com/player/index.jsp?sid=t476&player_id=607461,607461,RC,1B,124,489,66,145,30,0,11,88,208,40,74,6,1,0.352,0.425,0.297,0.778
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Marty Herum,http://www.milb.com/player/index.jsp?sid=t476&player_id=645917,645917,VIS,1B,96,377,51,111,20,0,8,46,155,22,63,9,1,0.336,0.411,0.294,0.747
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Omar Carrizales,http://www.milb.com/player/index.jsp?sid=t476&player_id=642470,642470,MOD,CF,96,388,60,114,14,10,6,32,166,24,69,16,5,0.336,0.428,0.294,0.764
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Tim Locastro,http://www.milb.com/player/index.jsp?sid=t476&player_id=641796,641796,RC,2B,86,339,61,98,17,5,5,39,140,15,50,15,4,0.347,0.413,0.289,0.76
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,B.J. Boyd,http://www.milb.com/player/index.jsp?sid=t476&player_id=622196,622196,STK,LF,101,413,48,119,14,3,8,58,163,34,74,8,6,0.346,0.395,0.288,0.74
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Gianfranco Wawoe,http://www.milb.com/player/index.jsp?sid=t476&player_id=605102,605102,BAK,2B,102,396,72,114,17,0,8,55,155,32,61,12,5,0.343,0.391,0.288,0.735
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Bobby Boyd,http://www.milb.com/player/index.jsp?sid=t476&player_id=656249,656249,LAN,CF,84,359,71,103,14,7,9,56,158,30,67,33,10,0.345,0.44,0.287,0.785
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Erick Mejia,http://www.milb.com/player/index.jsp?sid=t476&player_id=625510,625510,RC,SS,124,509,78,146,18,12,4,47,200,43,110,24,15,0.343,0.393,0.287,0.736
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Chantz Mack,http://www.milb.com/player/index.jsp?sid=t476&player_id=581680,581680,BAK,RF,124,476,71,136,18,5,14,89,206,80,123,5,3,0.389,0.433,0.286,0.822
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Michael Ahmed,http://www.milb.com/player/index.jsp?sid=t476&player_id=641296,641296,RC,1B,111,385,81,107,19,4,19,52,191,55,110,9,8,0.376,0.496,0.278,0.872
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Franmil Reyes,http://www.milb.com/player/index.jsp?sid=t476&player_id=614177,614177,LE,RF,130,493,63,137,32,3,16,83,223,47,108,2,3,0.34,0.452,0.278,0.792
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Jamie Ritchie,http://www.milb.com/player/index.jsp?sid=t476&player_id=657739,657739,LAN,C,99,344,62,95,20,0,7,57,136,58,83,3,1,0.389,0.395,0.276,0.785
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Bryan Muniz,http://www.milb.com/player/index.jsp?sid=t476&player_id=657692,657692,LAN,1B,112,424,69,116,17,4,13,74,180,31,93,2,1,0.336,0.425,0.274,0.761
http://www.milb.com/milb/stats/stats.jsp?y=2016&t=l_bat&lid=110&sid=t476&print=true,Shane Hoelscher,http://www.milb.com/player/index.jsp?sid=t476&player_id=657615,657615,MOD,3B,114,446,61,122,23,6,11,62,190,29,122,8,2,0.329,0.426,0.274,0.755
