url,Name,Name_link,,Team,Pos,G,Ab,R,H,2b,3b,Hr,Rbi,Tb,Bb,So,Sb,Cs,Obp,Slg,Avg,Ops
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Kyle Seager,http://www.milb.com/player/index.jsp?sid=t476&player_id=572122,572122,HD,2B,135,557,126,192,40,3,14,74,280,71,94,13,12,0.419,0.503,0.345,0.921
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Jake Shaffer,http://www.milb.com/player/index.jsp?sid=t476&player_id=543765,543765,HD,OF,107,391,58,132,31,6,9,78,202,26,73,4,10,0.387,0.517,0.338,0.904
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Jose Flores,http://www.milb.com/player/index.jsp?sid=t476&player_id=469839,469839,SJ,DH,96,359,58,119,15,6,6,54,164,25,41,9,6,0.381,0.457,0.331,0.838
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Francisco Peguero,http://www.milb.com/player/index.jsp?sid=t476&player_id=501317,501317,SJ,CF,122,510,78,168,19,16,10,77,249,18,88,40,22,0.358,0.488,0.329,0.846
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Jordan Pacheco,http://www.milb.com/player/index.jsp?sid=t476&player_id=457574,457574,MOD,C,104,390,59,125,27,3,5,70,173,54,36,5,6,0.407,0.444,0.321,0.851
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Albert Cartwright,http://www.milb.com/player/index.jsp?sid=t476&player_id=502619,502619,LAN,2B,92,354,72,113,26,13,10,48,195,33,80,24,12,0.381,0.551,0.319,0.932
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Grant Green,http://www.milb.com/player/index.jsp?sid=t476&player_id=502205,502205,STK,SS,131,548,107,174,39,6,20,87,285,38,117,9,5,0.363,0.52,0.318,0.883
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Jimmy Cesario,http://www.milb.com/player/index.jsp?sid=t476&player_id=543018,543018,MOD,DH,128,475,78,150,30,10,6,71,218,29,76,16,6,0.368,0.459,0.316,0.827
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Rich Poythress,http://www.milb.com/player/index.jsp?sid=t476&player_id=534562,534562,HD,1B,123,476,88,150,33,0,31,130,276,52,100,3,2,0.381,0.58,0.315,0.96
http://www.milb.com/milb/stats/stats.jsp?y=2010&t=l_bat&lid=110&sid=t476&print=true,Johermyn Chavez,http://www.milb.com/player/index.jsp?sid=t476&player_id=503345,503345,HD,OF,136,534,109,168,30,7,32,96,308,52,131,6,9,0.387,0.577,0.315,0.964
