url,Datacell 1,Datacell 2,Datacell 2_link,Datacell 3,Datacell 4,Datacell 5,Datacell 6,Datacell 7,Datacell 8,Datacell 9,Datacell 10,Datacell 11,Datacell 12,Datacell 13,Datacell 14,Datacell 15,Datacell 16,Currsortdatacell,Datacell 17
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Lancaster,Lancaster,http://www.milb.com/clubs/index.jsp?cid=t491,4959,888,1443,288,67,174,819,2387,588,1196,115,59,0.369,0.481,0.291,0.851
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,High Desert,,,4955,840,1416,297,64,153,784,2300,416,1182,87,31,0.346,0.464,0.286,0.81
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Visalia,Visalia,http://www.milb.com/clubs/index.jsp?cid=t516,4948,719,1316,288,38,154,650,2142,373,1199,126,47,0.321,0.433,0.266,0.754
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Rancho Cucamonga,Rancho Cucamonga,http://www.milb.com/clubs/index.jsp?cid=t526,4750,732,1259,300,38,135,669,2040,430,1186,105,54,0.33,0.429,0.265,0.76
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Inland Empire,Inland Empire,http://www.milb.com/clubs/index.jsp?cid=t401,4735,659,1245,244,51,78,599,1825,463,1180,131,68,0.333,0.385,0.263,0.718
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Modesto,Modesto,http://www.milb.com/clubs/index.jsp?cid=t515,4761,607,1248,256,53,83,536,1859,285,1168,136,85,0.311,0.39,0.262,0.701
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Stockton,Stockton,http://www.milb.com/clubs/index.jsp?cid=t524,4775,647,1223,243,38,100,586,1842,433,1068,113,35,0.321,0.386,0.256,0.707
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,San Jose,San Jose,http://www.milb.com/clubs/index.jsp?cid=t476,4873,594,1246,267,24,91,546,1834,371,1092,84,56,0.315,0.376,0.256,0.691
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Lake Elsinore,Lake Elsinore,http://www.milb.com/clubs/index.jsp?cid=t103,4810,603,1182,245,33,97,542,1784,389,1185,83,35,0.307,0.371,0.246,0.678
http://www.milb.com/milb/stats/stats.jsp?y=2015&t=l_tba&lid=110&sid=t476&print=true,Bakersfield,,,4704,570,1116,193,30,95,515,1654,417,1256,174,74,0.307,0.352,0.237,0.659
